step,train_loss,train_mean_token_accuracy,train_error_rate,timestamp
1,1.7595329284667969,0.6567164179104478,,2026-04-16T10:42:47.4950000Z
2,1.7636353969573975,0.639344262295082,,2026-04-16T10:44:09.1780000Z
3,2.036656379699707,0.4423076923076923,,2026-04-16T10:44:14.0490000Z
4,2.6262717247009277,0.5833333333333334,,2026-04-16T10:44:32.7460000Z
5,2.1877243518829346,0.49206349206349204,,2026-04-16T10:44:34.0260000Z
6,2.3098628520965576,0.48333333333333334,,2026-04-16T10:44:35.8930000Z
7,2.326275587081909,0.5862068965517241,,2026-04-16T10:44:37.4620000Z
8,1.6499316692352295,0.7123287671232876,,2026-04-16T10:44:39.0450000Z
9,1.5946201086044312,0.6428571428571429,,2026-04-16T10:44:40.9220000Z
10,1.7014060020446777,0.4791666666666667,,2026-04-16T10:44:42.9080000Z
11,1.444907784461975,0.7397260273972602,,2026-04-16T10:44:54.8720000Z
12,1.3358269929885864,0.7049180327868853,,2026-04-16T10:44:56.7550000Z
13,1.8151081800460815,0.6551724137931034,,2026-04-16T10:44:58.3290000Z
14,1.5783722400665283,0.5873015873015873,,2026-04-16T10:45:00.2000000Z
15,1.229719877243042,0.6153846153846154,,2026-04-16T10:45:02.3820000Z
16,1.2984963655471802,0.5416666666666666,,2026-04-16T10:45:03.6660000Z
17,1.5309206247329712,0.6458333333333334,,2026-04-16T10:45:05.8540000Z
18,1.3971173763275146,0.7,,2026-04-16T10:45:07.1260000Z
19,1.1141743659973145,0.6714285714285714,,2026-04-16T10:45:08.7060000Z
20,1.0661771297454834,0.7164179104477612,,2026-04-16T10:45:10.4510000Z
21,1.153734803199768,0.6825396825396826,,2026-04-16T10:45:20.9160000Z
22,0.9952968955039978,0.7313432835820896,,2026-04-16T10:45:22.7890000Z
23,1.2152578830718994,0.7,,2026-04-16T10:45:24.6670000Z
24,1.0893313884735107,0.7241379310344828,,2026-04-16T10:45:26.2410000Z
25,0.9310430884361267,0.6730769230769231,,2026-04-16T10:45:28.1190000Z
26,0.8656296133995056,0.7671232876712328,,2026-04-16T10:45:29.6980000Z
